@relation location
@attribute day numeric
@attribute hour numeric
@attribute lattitude numeric
@attribute longitude numeric
@data
0, 0.0, -6.252207000002526, 106.86473399999747
0, 0.167, -6.252352999997473, 106.86469199999748
0, 0.334, -6.252207000002526, 106.86473399999747
0, 0.501, -6.252415999997474, 106.86472099999747
0, 0.668, -6.252260000002527, 106.86476299999747
0, 0.835, -6.252280999997474, 106.86446400000253
1, 0.0, -6.252207000002526, 106.86473399999747
1, 0.167, -6.252203000002527, 106.86444300000252
1, 0.334, -6.252406999997474, 106.86453400000252
1, 0.501, -6.252081000002526, 106.86466399999748
1, 0.668, -6.2522280000025265, 106.86475599999747
1, 0.835, -6.252260000002527, 106.86476299999747
2, 0.0, -6.252415999997474, 106.86472099999747
2, 0.167, -6.2522280000025265, 106.86475599999747
2, 0.334, -6.252153000002526, 106.86449200000253
2, 0.501, -6.252153000002526, 106.86469199999748
2, 0.668, -6.252216000002527, 106.86472099999747
2, 0.835, -6.252081000002526, 106.86446400000253
3, 0.0, -6.252260000002527, 106.86456300000252
3, 0.167, -6.252203000002527, 106.86444300000252
3, 0.334, -6.252427999997474, 106.86475599999747
3, 0.501, -6.252415999997474, 106.86472099999747
3, 0.668, -6.252203000002527, 106.86444300000252
3, 0.835, -6.252203000002527, 106.86464299999747
4, 0.0, -6.252406999997474, 106.86453400000252
4, 0.167, -6.252153000002526, 106.86469199999748
4, 0.334, -6.252207000002526, 106.86473399999747
4, 0.501, -6.252280999997474, 106.86466399999748
4, 0.668, -6.252216000002527, 106.86452100000253
4, 0.835, -6.252402999997474, 106.86464299999747
5, 0.0, -6.252203000002527, 106.86444300000252
5, 0.167, -6.252280999997474, 106.86446400000253
5, 0.334, -6.2522280000025265, 106.86455600000252
5, 0.501, -6.252352999997473, 106.86469199999748
5, 0.668, -6.252352999997473, 106.86449200000253
5, 0.835, -6.252081000002526, 106.86466399999748
6, 0.0, -6.252427999997474, 106.86475599999747
6, 0.167, -6.252260000002527, 106.86456300000252
6, 0.334, -6.252203000002527, 106.86464299999747
6, 0.501, -6.252203000002527, 106.86464299999747
6, 0.668, -6.252352999997473, 106.86469199999748
6, 0.835, -6.252280999997474, 106.86446400000253
0, 0.0, -6.252207000002526, 106.86453400000252
0, 0.167, -6.252415999997474, 106.86452100000253
0, 0.334, -6.252216000002527, 106.86472099999747
0, 0.501, -6.252260000002527, 106.86476299999747
0, 0.668, -6.252081000002526, 106.86446400000253
0, 0.835, -6.252280999997474, 106.86446400000253
